CNT,CNTSCHID,REGION,STRATUM,LOC,COMP,SCSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,STUBI,TEABI,RESSI,STAFI,total_homework_time,CPERIODS,SCIENCE,READING,MATH,mean_reading_attitude,mean_science_attitude,mean_math_attitude
CZE,20300109,20300,CZE14,0,1,507,259,248,10.5625,48,2.4,2.4,2.5,2,2,31.11764705882353,470.18927647058825,433.11842352941176,448.93740588235295,2.607843137254902,2.9607843137254903,2.3137254901960786
CZE,20300110,20300,CZE10,0,2,116,62,54,10.5455,11,2.6,1.8,2.25,2.5,1,31,481.26082499999995,506.233375,481.41634999999997,2.9166666666666665,2.75,2.5
CZE,20300111,20300,CZE31,1,1,830,310,520,14.5614,57,1.2,1,1,1.25,2.111111111111111,25.38888888888889,410.8611388888889,419.8556111111111,401.2124333333333,2.3333333333333335,2.574074074074074,2.574074074074074
CZE,20300112,20300,CZE01,1,1,608,347,261,14.3059,42.5,1.6,2,3,2.75,2.4545454545454546,30.636363636363637,483.5894909090909,459.6016,482.42125454545453,2.787878787878788,2.4242424242424243,2.7272727272727275
CZE,20300113,20300,CZE06,1,3,534,288,246,15.9403,33.5,3,2,1.5,3.25,2.3333333333333335,28.77777777777778,366.63005555555554,388.3990888888889,374.51486666666665,2.4814814814814814,2.5185185185185186,2.3703703703703702
CZE,20300114,20300,CZE30,1,2,693,91,602,6.8955,100.5,2.2,2.6,1.75,1.5,2.4411764705882355,31.676470588235293,531.6511294117647,527.7289588235294,512.7603676470588,2.6176470588235294,2.735294117647059,2.519607843137255
CZE,20300115,20300,CZE08,0,1,802,418,384,14.1947,56.5,2,1.4,1.25,2,2.7,26.6,433.918875,423.54836,438.25486,2.4,2.783333333333333,2.3833333333333333
CZE,20300116,20300,CZE31,1,1,1183,650,533,11.7711,100.5,2.4,1.8,1,1.5,1.8,25.466666666666665,425.3319133333333,419.46605999999997,404.3235066666667,2.511111111111111,2.5555555555555554,2.3111111111111113
CZE,20300117,20300,CZE08,0,2,157,88,69,10.8276,14.5,1.8,1.4,1.75,3,1.75,32.5,489.614975,484.321325,472.861225,2.6666666666666665,2.6666666666666665,2.75
CZE,20300118,20300,CZE29,0,1,296,110,186,10.7636,27.5,1.4,1,1,1.5,1.6923076923076923,30.384615384615383,588.9418384615385,572.8191538461539,573.6916538461538,2.6666666666666665,2.8205128205128207,2.871794871794872
CZE,20300119,20300,CZE29,1,1,682,305,377,14.0619,48.5,1,1.4,2.25,1.5,2.238095238095238,31.285714285714285,591.1210523809524,575.3246952380953,587.7301238095238,2.571428571428571,2.9365079365079367,2.873015873015873
CZE,20300120,20300,CZE31,0,1,193,186,7,8.0417,24,2.4,1,1.5,1.25,1.25,27.875,459.7504625,437.9176625,447.60535,2.4166666666666665,2.5833333333333335,2.5416666666666665
CZE,20300121,20300,CZE06,1,1,490,260,230,16.0656,30.5,1.4,2.2,1.25,2.5,2.3076923076923075,27.923076923076923,502.8243,490.11243846153843,473.1538,2.6923076923076925,2.5128205128205128,2.41025641025641
CZE,20300122,20300,CZE02,0,1,666,332,334,12.6857,52.5,1.6,1.8,1,2.25,1.5294117647058822,30.058823529411764,492.7610823529412,490.99399411764705,473.5028117647059,2.784313725490196,2.6470588235294117,2.450980392156863
CZE,20300123,20300,CZE29,0,1,659,197,462,11.5614,57,1.6,1.8,1.5,1,2.6818181818181817,32.95454545454545,587.2820045454546,576.1107000000001,568.0885590909091,2.803030303030303,2.772727272727273,2.515151515151515
CZE,20300124,20300,CZE30,1,1,1115,709,406,10.8252,103,2.4,2,3,2.75,2.2,33.94285714285714,492.01938285714283,480.7156057142857,474.03932285714285,2.7333333333333334,2.761904761904762,2.695238095238095
CZE,20300125,20300,CZE31,0,3,189,53,136,6.6316,28.5,2.2,2,3,2,1.6,21.6,419.1676,408.64820000000003,390.49864,2.3333333333333335,2.2666666666666666,2.3333333333333335
CZE,20300126,20300,CZE31,1,1,1115,709,406,10.8252,103,2.4,2,3,2.75,2.066666666666667,26.2,429.39906666666667,404.39258666666666,435.9948533333333,2.577777777777778,2.6444444444444444,2.7333333333333334
