CNT,CNTSCHID,REGION,STRATUM,SC001Q01TA,SC011Q01TA,SCHSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,student_behavior_issue_mean,teacher_behavior_issue_mean,resources_issue_mean,staff_issues_mean,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA
POL,61600051,61600,POL03,3,1,255,135,120,6.6234,38.5,2.4,2.6,2,1.5,3,3,2,2,2,3,2,3,3,2,2,2,1,1,2,2,2,2
POL,61600053,61600,POL02,4,2,573,309,264,12.5934,45.5,2.2,2.6,2.25,2.75,3,3,2,2,1,3,2,3,3,2,3,3,3,2,1,1,3,4
POL,61600054,61600,POL02,3,1,869,288,581,14.2459,61,1.4,1.4,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
POL,61600055,61600,POL02,3,1,591,237,354,12.5745,47,1.4,1.6,1,1.75,1,2,2,1,1,2,1,2,2,1,3,2,1,1,1,1,1,1
POL,61600056,61600,POL02,4,2,334,93,241,8.9067,37.5,2,2,1.25,2.25,3,4,1,1,1,2,2,2,2,2,4,3,1,1,1,1,1,2
POL,61600058,61600,POL02,2,1,761,299,462,9.4534,80.5,2.6,2.4,2.5,2.25,3,4,2,2,2,2,3,2,3,2,2,1,3,3,2,3,2,3
POL,61600059,61600,POL04,4,1,31,18,13,3.2632,9.5,2.2,1.2,1,1,3,3,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
POL,61600060,61600,POL03,3,1,291,205,86,5.5429,52.5,3.6,2.8,3.25,2.5,4,4,4,3,3,3,4,3,2,2,4,2,2,2,3,3,4,3
POL,61600062,61600,POL04,4,1,326,150,176,12.0741,27,2.4,2,1,1,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
POL,61600063,61600,POL02,4,1,319,165,154,9.6667,33,1.6,2,1.5,1.75,2,3,1,1,1,2,2,2,2,2,3,1,2,1,3,1,1,1
POL,61600064,61600,POL03,5,1,1052,1010,42,12.5988,83.5,2,2.4,1.75,2.5,3,2,2,1,2,3,2,3,2,2,4,2,2,2,1,2,2,2
POL,61600065,61600,POL04,3,2,285,186,99,16.7647,17,1.8,1.8,1.25,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,1
POL,61600066,61600,POL04,2,1,311,201,110,6.22,50,2.2,1.2,1.5,2.25,2,3,2,2,2,2,1,1,1,1,3,2,2,2,1,2,1,2
